,team1Name,team1Score,team2Name,team2Score,result,winningOdds_team1,winningOdds_team2
27-Sep,Seattle Mariners,2,Oakland Athletics,1,Seattle Mariners,1.64,2.66
27-Oct,Philadelphia Phillies,6,St.Louis Cardinals,7,St.Louis Cardinals,1.85,2.14
27-Nov,Pittsburgh Pirates,7,Milwaukee Brewers,4,Pittsburgh Pirates,2.87,1.57
27-Dec,San Francisco Giants,3,Chicago White Sox,5,Chicago White Sox,1.73,2.35
27-13,Washington Nationals,3,Miami Marlins,5,Miami Marlins,2.01,1.95
27-14,Minnesota Twins,4,Baltimore Orioles,3,Minnesota Twins,1.46,3.22
27-15,Cleveland Guardians,4,New York Yankees,13,Cleveland Guardians,3.58,1.47
27-16,Toronto Blue Jays,2,Tampa Bay Rays,6,Tampa Bay Rays,1.77,2.25
27-17,San Francisco Giants,0,Chicago White Sox,1,Chicago White Sox,1.71,2.37
27-18,Los Angeles Dodgers,5,San Diego Padres,1,Los Angeles Dodgers,1.68,2.65
27-19,Seattle Mariners,1,Oakland Athletics,3,Oakland Athletics,1.59,2.65
27-20,Colorado Rockies,3,Arizona Diamondbacks,9,Arizona Diamondbacks,1.92,2.25
27-21,Houston Astros,8,Los Angeles Angels,1,Houston Astros,1.74,2.53
27-22,Minnesota Twins,3,Baltimore Orioles,2,Minnesota Twins,1.47,3.08
27-23,Detroit Tigers,1,Kansas City Royals,3,Kansas City Royals,1.87,2.11
27-24,New York Mets,4,Texas Rangers,3,New York Mets,1.58,2.67
27-25,Pittsburgh Pirates,2,Milwaukee Brewers,19,Pittsburgh Pirates,2.83,1.53
27-26,Cincinnati Reds,1,Atlanta Braves,9,Atlanta Braves,3.44,1.62
27-27,Philadelphia Phillies,5,St.Louis Cardinals,3,Philadelphia Phillies,2.33,2.1
27-28,Washington Nationals,3,Miami Marlins,6,Miami Marlins,2.05,2.19
27-29,Toronto Blue Jays,9,Tampa Bay Rays,2,Toronto Blue Jays,1.75,2.32
27-30,Chicago Cubs,6,Boston Red Sox,5,Chicago Cubs,2.29,1.74
27-31,Los Angeles Dodgers,3,San Diego Padres,1,Los Angeles Dodgers,1.8,2.6
27-32,Seattle Mariners,8,Oakland Athletics,6,Seattle Mariners,1.5,3.2
27-33,Chicago Cubs,15,Cincinnati Reds,7,Cincinnati Reds,1.8,2.24
27-34,Toronto Blue Jays,4,Tampa Bay Rays,1,Toronto Blue Jays,1.71,2.34
27-35,Pittsburgh Pirates,8,Milwaukee Brewers,7,Pittsburgh Pirates,2.7,1.81
27-36,Houston Astros,2,New York Yankees,1,Houston Astros,2.26,1.76
27-37,Philadelphia Phillies,14,Atlanta Braves,4,Atlanta Braves,1.68,2.45
27-38,Cleveland Guardians,5,Minnesota Twins,3,Cleveland Guardians,1.73,2.37
27-39,Los Angeles Angels,4,Chicago White Sox,1,Los Angeles Angels,1.55,2.75
27-40,Colorado Rockies,4,Los Angeles Dodgers,8,Los Angeles Dodgers,2.9,1.5
27-41,Chicago Cubs,8,Cincinnati Reds,3,Chicago Cubs,1.8,2.28
27-42,St.Louis Cardinals,3,Miami Marlins,4,Miami Marlins,2.21,1.79
27-43,Cleveland Guardians,7,Minnesota Twins,6,Cleveland Guardians,1.85,2.3
27-44,Toronto Blue Jays,5,Boston Red Sox,6,Boston Red Sox,1.63,2.58
27-45,Philadelphia Phillies,1,Atlanta Braves,4,Atlanta Braves,2.21,2.15
27-46,Seattle Mariners,9,Baltimore Orioles,3,Seattle Mariners,1.82,2.24
27-47,San Francisco Giants,2,Detroit Tigers,3,Detroit Tigers,1.55,2.75
27-48,Arizona Diamondbacks,0,San Diego Padres,4,San Diego Padres,2.21,1.82
27-49,Kansas City Royals,2,Texas Rangers,1,Kansas City Royals,2.02,1.95
27-50,New York Mets,0,Houston Astros,2,Houston Astros,2.32,1.76
26-Jan,Miami Marlins,2,Los Angeles Angels,5,Los Angeles Angels,2.51,1.64
26-Feb,Oakland Athletics,1,Toronto Blue Jays,2,Toronto Blue Jays,2.89,1.5
26-Mar,Chicago White Sox,9,Minnesota Twins,8,Chicago White Sox,1.94,2.11
26-Apr,Milwaukee Brewers,1,Chicago Cubs,2,Chicago Cubs,1.41,3.45
26-May,Detroit Tigers,8,Cleveland Guardians,2,Detroit Tigers,2.48,1.64
26-Jun,Los Angeles Dodgers,5,Colorado Rockies,2,Los Angeles Dodgers,1.49,3.01
26-Jul,Arizona Diamondbacks,6,San Francisco Giants,2,Arizona Diamondbacks,2.47,1.76
26-Aug,Oakland Athletics,5,Toronto Blue Jays,3,Oakland Athletics,2.62,1.65
26-Sep,Chicago White Sox,2,Minnesota Twins,8,Minnesota Twins,1.95,2.21
26-Oct,Houston Astros,9,Kansas City Royals,7,Houston Astros,1.41,3.29
26-Nov,Milwaukee Brewers,3,Chicago Cubs,8,Chicago Cubs,1.78,2.37
26-Dec,Atlanta Braves,7,St.Louis Cardinals,1,Atlanta Braves,1.72,2.67
26-13,Boston Red Sox,4,Tampa Bay Rays,8,Tampa Bay Rays,1.83,2.19
26-14,Detroit Tigers,11,Cleveland Guardians,4,Cleveland Guardians,2.45,1.67
26-15,Baltimore Orioles,10,Texas Rangers,9,Texas Rangers,1.96,1.99
26-16,Philadelphia Phillies,11,Washington Nationals,0,Philadelphia Phillies,1.63,2.53
26-17,Pittsburgh Pirates,5,New York Yankees,2,Pittsburgh Pirates,2.83,1.55
26-18,Cincinnati Reds,1,New York Mets,0,Cincinnati Reds,2.98,1.62
26-19,Miami Marlins,2,Los Angeles Angels,1,Miami Marlins,2.35,2.36
26-20,San Diego Padres,2,Seattle Mariners,6,Seattle Mariners,1.8,2.28
26-21,Los Angeles Dodgers,5,Colorado Rockies,3,Los Angeles Dodgers,1.42,3.52
26-22,Oakland Athletics,5,Toronto Blue Jays,1,Oakland Athletics,3.27,1.57
26-23,Chicago White Sox,3,Minnesota Twins,6,Minnesota Twins,1.78,2.32
26-24,Atlanta Braves,6,St.Louis Cardinals,3,Atlanta Braves,1.66,2.6
26-25,Cincinnati Reds,4,New York Mets,7,New York Mets,2.7,1.6
26-26,Detroit Tigers,5,Cleveland Guardians,3,Detroit Tigers,2.32,1.8
26-27,San Diego Padres,2,Seattle Mariners,8,Seattle Mariners,1.76,2.61
26-28,Arizona Diamondbacks,8,San Francisco Giants,3,Arizona Diamondbacks,2.75,1.55
26-29,Houston Astros,7,Kansas City Royals,6,Houston Astros,1.41,3.44
26-30,Milwaukee Brewers,5,Chicago Cubs,2,Milwaukee Brewers,1.75,2.35
26-31,Boston Red Sox,4,Tampa Bay Rays,0,Boston Red Sox,1.87,2.09
26-32,Detroit Tigers,4,Cleveland Guardians,1,Detroit Tigers,2.34,1.82
26-33,Baltimore Orioles,7,Texas Rangers,6,Baltimore Orioles,1.97,1.99
26-34,Washington Nationals,2,Miami Marlins,3,Miami Marlins,1.93,2.04
26-35,Philadelphia Phillies,4,St.Louis Cardinals,0,Philadelphia Phillies,1.69,2.56
26-36,Los Angeles Dodgers,2,San Diego Padres,4,San Diego Padres,1.55,2.93
26-37,Seattle Mariners,2,Oakland Athletics,1,Seattle Mariners,1.71,2.41
26-38,San Francisco Giants,4,Chicago White Sox,13,San Francisco Giants,1.78,2.29
26-39,Colorado Rockies,6,Arizona Diamondbacks,5,Colorado Rockies,2.06,1.91
26-40,Chicago Cubs,2,Boston Red Sox,4,Boston Red Sox,1.92,2.05
26-41,Houston Astros,4,Los Angeles Angels,2,Houston Astros,1.45,3.2
26-42,Minnesota Twins,1,Baltimore Orioles,3,Baltimore Orioles,1.73,2.41
26-43,Cincinnati Reds,4,Atlanta Braves,3,Cincinnati Reds,2.55,1.66
26-44,Cleveland Guardians,2,New York Yankees,0,Cleveland Guardians,2.48,1.66
26-45,New York Mets,4,Texas Rangers,1,New York Mets,1.79,2.21
26-46,Toronto Blue Jays,3,Tampa Bay Rays,7,Tampa Bay Rays,1.78,2.23
26-47,Pittsburgh Pirates,0,Milwaukee Brewers,2,Milwaukee Brewers,2.89,1.53
26-48,Washington Nationals,4,Miami Marlins,7,Miami Marlins,2.17,1.84
26-49,Detroit Tigers,4,Kansas City Royals,7,Kansas City Royals,1.75,2.3
26-50,Colorado Rockies,11,Arizona Diamondbacks,7,Arizona Diamondbacks,2,2.49
25-Jan,Boston Red Sox,6,New York Yankees,5,Boston Red Sox,2.47,1.74
25-Feb,San Diego Padres,1,San Francisco Giants,3,San Francisco Giants,1.96,2.05
25-Mar,Arizona Diamondbacks,9,Colorado Rockies,2,Arizona Diamondbacks,1.84,2.17
25-Apr,Atlanta Braves,4,Washington Nationals,3,Atlanta Braves,1.47,3.15
25-May,Cincinnati Reds,5,Tampa Bay Rays,4,Cincinnati Reds,2.35,1.71
25-Jun,Kansas City Royals,1,Cleveland Guardians,13,Cleveland Guardians,2.26,1.75
25-Jul,Milwaukee Brewers,3,Pittsburgh Pirates,4,Pittsburgh Pirates,1.41,3.44
25-Aug,New York Mets,5,Miami Marlins,4,New York Mets,1.59,2.66
25-Sep,Oakland Athletics,3,Houston Astros,2,Oakland Athletics,3.58,1.37
25-Oct,Baltimore Orioles,1,Los Angeles Angels,0,Baltimore Orioles,2.07,1.88
25-Nov,Texas Rangers,9,Minnesota Twins,7,Texas Rangers,1.82,2.2
25-Dec,St.Louis Cardinals,0,Philadelphia Phillies,1,Philadelphia Phillies,1.87,2.15
25-13,Chicago White Sox,8,Detroit Tigers,0,Chicago White Sox,1.61,2.58
25-14,Los Angeles Dodgers,4,Chicago Cubs,3,Los Angeles Dodgers,1.51,2.85
25-15,Seattle Mariners,5,Toronto Blue Jays,2,Seattle Mariners,2.1,1.97
25-16,Arizona Diamondbacks,5,Colorado Rockies,6,Colorado Rockies,1.86,2.53
25-17,Oakland Athletics,3,Houston Astros,8,Houston Astros,2.64,1.59
25-18,San Diego Padres,6,San Francisco Giants,3,San Diego Padres,1.9,2.38
25-19,St.Louis Cardinals,0,Philadelphia Phillies,2,Philadelphia Phillies,2.19,1.9
25-20,Chicago White Sox,5,Detroit Tigers,7,Detroit Tigers,1.57,2.66
25-21,Kansas City Royals,4,Cleveland Guardians,3,Kansas City Royals,0,0
25-22,Milwaukee Brewers,4,Pittsburgh Pirates,3,Milwaukee Brewers,1.51,3.15
25-23,Texas Rangers,6,Minnesota Twins,5,Texas Rangers,2.1,2
25-24,Atlanta Braves,12,Washington Nationals,2,Washington Nationals,1.44,3.22
25-25,Boston Red Sox,5,New York Yankees,12,Boston Red Sox,2.43,1.69
25-26,New York Mets,2,Miami Marlins,5,Miami Marlins,1.65,2.6
25-27,Baltimore Orioles,5,Los Angeles Angels,4,Baltimore Orioles,1.95,2.26
25-28,Cincinnati Reds,2,Tampa Bay Rays,1,Cincinnati Reds,2.66,1.64
25-29,Los Angeles Dodgers,5,Chicago Cubs,3,Los Angeles Dodgers,1.42,3.45
25-30,Seattle Mariners,8,Toronto Blue Jays,3,Seattle Mariners,2.01,1.96
25-31,Arizona Diamondbacks,3,Colorado Rockies,4,Colorado Rockies,2.02,2.4
25-32,San Diego Padres,2,San Francisco Giants,1,San Diego Padres,1.74,2.28
25-33,Chicago White Sox,1,Detroit Tigers,2,Detroit Tigers,1.6,3.17
25-34,Atlanta Braves,2,St.Louis Cardinals,3,St.Louis Cardinals,1.48,3.27
25-35,Boston Red Sox,5,New York Yankees,6,New York Yankees,2.48,1.7
25-36,Cincinnati Reds,5,Pittsburgh Pirates,1,Cincinnati Reds,1.82,2.12
25-37,New York Mets,10,Miami Marlins,0,New York Mets,1.62,2.53
25-38,Baltimore Orioles,4,Los Angeles Angels,1,Baltimore Orioles,2.02,2.01
25-39,Philadelphia Phillies,5,Washington Nationals,3,Philadelphia Phillies,1.61,2.7
25-40,Cincinnati Reds,2,Pittsburgh Pirates,4,Pittsburgh Pirates,2,1.99
25-41,Houston Astros,5,Kansas City Royals,2,Houston Astros,1.33,4.1
25-42,Los Angeles Dodgers,2,Colorado Rockies,1,Los Angeles Dodgers,1.35,3.73
25-43,Arizona Diamondbacks,5,San Francisco Giants,7,San Francisco Giants,2.18,1.8
25-44,Pittsburgh Pirates,0,New York Yankees,16,New York Yankees,2.87,1.51
25-45,Houston Astros,4,Kansas City Royals,7,Kansas City Royals,1.39,3.75
25-46,Atlanta Braves,3,St.Louis Cardinals,0,Atlanta Braves,1.63,2.7
25-47,Boston Red Sox,1,Tampa Bay Rays,7,Tampa Bay Rays,1.9,2.1
25-48,Baltimore Orioles,2,Texas Rangers,1,Baltimore Orioles,2.01,1.95
25-49,Philadelphia Phillies,2,Washington Nationals,3,Washington Nationals,1.5,2.93
25-50,Cincinnati Reds,3,New York Mets,8,New York Mets,2.52,1.63
24-Jan,New York Yankees,7,Cincinnati Reds,6,New York Yankees,1.52,3.96
24-Feb,Miami Marlins,5,Pittsburgh Pirates,4,Miami Marlins,1.62,2.56
24-Mar,Washington Nationals,1,Seattle Mariners,2,Seattle Mariners,2.05,2.05
24-Apr,San Francisco Giants,4,Arizona Diamondbacks,3,San Francisco Giants,1.8,2.18
24-May,Kansas City Royals,5,Detroit Tigers,2,Kansas City Royals,1.88,2.11
24-Jun,Minnesota Twins,4,Milwaukee Brewers,1,Minnesota Twins,1.83,2.17
24-Jul,Atlanta Braves,3,New York Mets,7,New York Mets,1.74,2.48
24-Aug,Washington Nationals,4,Seattle Mariners,6,Seattle Mariners,2.05,2.03
24-Sep,San Francisco Giants,13,Arizona Diamondbacks,0,San Francisco Giants,1.48,3.02
24-Oct,Los Angeles Angels,5,Houston Astros,6,Houston Astros,2.09,2.15
24-Nov,Colorado Rockies,5,San Diego Padres,3,Colorado Rockies,2.4,1.73
24-Dec,Kansas City Royals,5,Detroit Tigers,7,Detroit Tigers,1.89,2.17
24-13,Chicago Cubs,2,Baltimore Orioles,4,Baltimore Orioles,1.85,2.11
24-14,Texas Rangers,7,Oakland Athletics,14,Texas Rangers,1.65,2.67
24-15,St.Louis Cardinals,7,Los Angeles Dodgers,6,St.Louis Cardinals,2.43,1.68
24-16,Minnesota Twins,3,Milwaukee Brewers,6,Milwaukee Brewers,1.71,2.4
24-17,Atlanta Braves,4,New York Mets,1,Atlanta Braves,1.66,2.9
24-18,Cleveland Guardians,0,Chicago White Sox,7,Chicago White Sox,2.52,1.63
24-19,Tampa Bay Rays,3,Boston Red Sox,2,Tampa Bay Rays,2.04,2.45
24-20,Toronto Blue Jays,4,Philadelphia Phillies,3,Toronto Blue Jays,1.55,2.83
24-21,New York Yankees,3,Cincinnati Reds,4,Cincinnati Reds,1.34,3.73
24-22,Miami Marlins,2,Pittsburgh Pirates,3,Pittsburgh Pirates,1.67,2.67
24-23,Cleveland Guardians,4,Chicago White Sox,1,Cleveland Guardians,1.74,2.53
24-24,San Francisco Giants,3,Arizona Diamondbacks,4,Arizona Diamondbacks,1.66,2.8
24-25,Colorado Rockies,5,San Diego Padres,6,San Diego Padres,2.31,1.76
24-26,Kansas City Royals,7,Detroit Tigers,3,Kansas City Royals,1.79,2.21
24-27,Texas Rangers,10,Oakland Athletics,8,Oakland Athletics,1.61,2.61
24-28,Atlanta Braves,1,New York Mets,4,New York Mets,1.77,2.4
24-29,St.Louis Cardinals,6,Philadelphia Phillies,1,St.Louis Cardinals,2.19,1.84
24-30,Cleveland Guardians,8,Chicago White Sox,4,Cleveland Guardians,2.04,1.93
24-31,Tampa Bay Rays,10,Boston Red Sox,5,Boston Red Sox,2.05,2.01
24-32,Miami Marlins,1,Pittsburgh Pirates,5,Pittsburgh Pirates,1.63,2.53
24-33,Kansas City Royals,3,Detroit Tigers,1,Kansas City Royals,1.79,2.2
24-34,Boston Red Sox,11,New York Yankees,6,New York Yankees,2.31,1.81
24-35,Arizona Diamondbacks,2,Colorado Rockies,3,Colorado Rockies,2.01,1.97
24-36,Los Angeles Dodgers,11,Chicago Cubs,9,Chicago Cubs,1.42,3.33
24-37,San Diego Padres,0,San Francisco Giants,12,San Francisco Giants,1.9,2.15
24-38,Seattle Mariners,6,Toronto Blue Jays,5,Seattle Mariners,1.85,2.18
24-39,Oakland Athletics,1,Houston Astros,6,Houston Astros,2.59,1.59
24-40,Texas Rangers,5,Minnesota Twins,6,Minnesota Twins,1.94,2.02
23-Jan,San Diego Padres,4,Arizona Diamondbacks,3,San Diego Padres,1.62,2.76
23-Feb,Chicago Cubs,3,New York Mets,4,New York Mets,2.19,1.81
23-Mar,New York Yankees,14,Boston Red Sox,1,New York Yankees,1.64,2.55
23-Apr,San Francisco Giants,2,Milwaukee Brewers,1,San Francisco Giants,1.78,2.5
23-May,Cleveland Guardians,10,Detroit Tigers,0,Cleveland Guardians,1.65,2.46
23-Jun,Houston Astros,5,Oakland Athletics,0,Houston Astros,1.31,4.13
23-Jul,Miami Marlins,0,Philadelphia Phillies,10,Philadelphia Phillies,1.97,2.02
23-Aug,Tampa Bay Rays,4,Baltimore Orioles,6,Baltimore Orioles,1.86,2.1
23-Sep,Texas Rangers,2,Seattle Mariners,3,Seattle Mariners,2.43,1.68
23-Oct,Washington Nationals,3,Atlanta Braves,6,Atlanta Braves,3.1,1.45
23-Nov,Colorado Rockies,2,Pittsburgh Pirates,0,Colorado Rockies,1.75,2.35
23-Dec,Toronto Blue Jays,6,Kansas City Royals,5,Toronto Blue Jays,1.33,3.8
23-13,Chicago Cubs,1,New York Mets,2,New York Mets,2.94,1.78
23-14,St.Louis Cardinals,11,Cincinnati Reds,3,Cincinnati Reds,1.63,2.58
23-15,Minnesota Twins,6,Chicago White Sox,3,Minnesota Twins,1.81,2.25
23-16,San Francisco Giants,8,Milwaukee Brewers,5,San Francisco Giants,2.18,2.1
23-17,San Diego Padres,5,Arizona Diamondbacks,3,San Diego Padres,1.54,2.79
23-18,Los Angeles Angels,1,Los Angeles Dodgers,9,Los Angeles Dodgers,2.84,1.55
23-19,Colorado Rockies,13,Pittsburgh Pirates,2,Pittsburgh Pirates,1.8,2.41
23-20,St.Louis Cardinals,7,Cincinnati Reds,3,St.Louis Cardinals,1.7,2.5
23-21,Houston Astros,1,Oakland Athletics,5,Oakland Athletics,1.52,2.8
23-22,Minnesota Twins,2,Chicago White Sox,6,Chicago White Sox,1.83,2.22
23-23,Texas Rangers,3,Seattle Mariners,8,Seattle Mariners,2.48,1.71
23-24,Cleveland Guardians,6,Detroit Tigers,5,Cleveland Guardians,1.58,2.66
23-25,Tampa Bay Rays,5,Baltimore Orioles,4,Tampa Bay Rays,1.89,2.15
23-26,Toronto Blue Jays,8,Kansas City Royals,1,Toronto Blue Jays,1.31,4.2
23-27,New York Yankees,4,Boston Red Sox,5,Boston Red Sox,1.65,2.56
23-28,Washington Nationals,4,Atlanta Braves,8,Atlanta Braves,3,1.61
23-29,Miami Marlins,1,Philadelphia Phillies,2,Philadelphia Phillies,1.57,2.7
23-30,San Francisco Giants,2,Milwaukee Brewers,3,Milwaukee Brewers,2,2
23-31,Los Angeles Angels,2,Houston Astros,3,Houston Astros,2.73,1.57
23-32,Chicago Cubs,0,New York Mets,8,New York Mets,2.18,1.8
23-33,Texas Rangers,5,Seattle Mariners,6,Seattle Mariners,1.84,2.17
23-34,Minnesota Twins,2,Chicago White Sox,12,Minnesota Twins,1.74,2.5
23-35,St.Louis Cardinals,0,Los Angeles Dodgers,4,Los Angeles Dodgers,2.49,1.67
23-36,Cleveland Guardians,4,Detroit Tigers,0,Cleveland Guardians,1.54,3.1
23-37,Tampa Bay Rays,5,Boston Red Sox,4,Tampa Bay Rays,1.84,2.21
23-38,Toronto Blue Jays,1,Kansas City Royals,3,Kansas City Royals,1.31,4.48
23-39,New York Yankees,6,Cincinnati Reds,7,Cincinnati Reds,1.59,2.74
23-40,Washington Nationals,4,Atlanta Braves,5,Atlanta Braves,2.99,1.5
23-41,Colorado Rockies,8,San Diego Padres,5,Colorado Rockies,2.23,1.77
23-42,Miami Marlins,3,Pittsburgh Pirates,2,Miami Marlins,1.69,2.48
23-43,Los Angeles Angels,7,Houston Astros,1,Los Angeles Angels,2.35,2.04
23-44,Colorado Rockies,10,San Diego Padres,6,San Diego Padres,2.66,1.74
23-45,Chicago Cubs,1,Baltimore Orioles,7,Baltimore Orioles,1.76,2.35
23-46,Texas Rangers,5,Oakland Athletics,2,Texas Rangers,1.56,2.68
23-47,St.Louis Cardinals,6,Los Angeles Dodgers,7,Los Angeles Dodgers,2.57,1.68
23-48,Cleveland Guardians,1,Chicago White Sox,2,Chicago White Sox,2.09,1.9
23-49,Tampa Bay Rays,4,Boston Red Sox,1,Tampa Bay Rays,1.56,2.74
23-50,Toronto Blue Jays,8,Philadelphia Phillies,2,Toronto Blue Jays,1.87,2.11
22-Jan,Oakland Athletics,3,Texas Rangers,1,Oakland Athletics,2.24,1.82
22-Feb,Arizona Diamondbacks,7,Washington Nationals,2,Arizona Diamondbacks,1.67,2.44
22-Mar,Atlanta Braves,7,Los Angeles Angels,2,Atlanta Braves,1.52,2.97
22-Apr,Chicago White Sox,5,Cleveland Guardians,4,Chicago White Sox,1.62,2.6
22-May,Los Angeles Dodgers,4,San Francisco Giants,2,Los Angeles Dodgers,1.57,2.75
22-Jun,Kansas City Royals,6,Tampa Bay Rays,3,Kansas City Royals,1.95,2.05
22-Jul,Milwaukee Brewers,9,Colorado Rockies,4,Milwaukee Brewers,1.5,3.38
22-Aug,New York Mets,1,San Diego Padres,2,San Diego Padres,1.83,2.35
22-Sep,Baltimore Orioles,6,New York Yankees,3,Baltimore Orioles,3.1,1.58
22-Oct,Pittsburgh Pirates,1,Miami Marlins,0,Pittsburgh Pirates,2.5,1.92
22-Nov,Cincinnati Reds,3,St.Louis Cardinals,6,St.Louis Cardinals,2.45,1.74
22-Dec,Detroit Tigers,4,Minnesota Twins,8,Minnesota Twins,2.56,1.63
22-13,Philadelphia Phillies,2,Chicago Cubs,6,Chicago Cubs,1.68,2.59
22-14,Boston Red Sox,1,Toronto Blue Jays,4,Toronto Blue Jays,2.6,1.67
22-15,Seattle Mariners,1,Houston Astros,3,Houston Astros,2.43,1.68
22-16,Chicago White Sox,4,Cleveland Guardians,7,Cleveland Guardians,1.92,2.18
22-17,Los Angeles Dodgers,5,San Francisco Giants,1,Los Angeles Dodgers,1.7,2.5
22-18,Seattle Mariners,2,Houston Astros,5,Houston Astros,2.14,1.88
22-19,Arizona Diamondbacks,10,Washington Nationals,1,Arizona Diamondbacks,1.66,2.5
22-20,Oakland Athletics,5,Texas Rangers,4,Oakland Athletics,2.05,1.95
22-21,Atlanta Braves,8,Los Angeles Angels,1,Atlanta Braves,1.7,2.7
22-22,Chicago White Sox,2,Cleveland Guardians,8,Cleveland Guardians,1.7,2.45
22-23,Kansas City Royals,3,Tampa Bay Rays,7,Tampa Bay Rays,2.3,1.79
22-24,Milwaukee Brewers,6,Colorado Rockies,5,Milwaukee Brewers,1.35,3.72
22-25,New York Mets,1,San Diego Padres,4,San Diego Padres,1.66,2.77
22-26,Boston Red Sox,5,Toronto Blue Jays,28,Boston Red Sox,2.11,1.88
22-27,Baltimore Orioles,6,New York Yankees,7,New York Yankees,2.95,1.71
22-28,Philadelphia Phillies,2,Chicago Cubs,15,Philadelphia Phillies,1.82,2.4
22-29,Pittsburgh Pirates,1,Miami Marlins,8,Miami Marlins,2.17,1.9
22-30,Cincinnati Reds,9,St.Louis Cardinals,5,Cincinnati Reds,2.31,1.73
22-31,Los Angeles Dodgers,9,San Francisco Giants,6,Los Angeles Dodgers,1.82,2.24
22-32,Houston Astros,7,New York Yankees,5,Houston Astros,1.79,2.22
22-33,Oakland Athletics,5,Detroit Tigers,0,Oakland Athletics,1.63,2.48
22-34,Oakland Athletics,2,Detroit Tigers,7,Detroit Tigers,2.36,1.71
22-35,Houston Astros,3,New York Yankees,2,Houston Astros,1.78,2.2
22-36,Miami Marlins,0,Texas Rangers,8,Texas Rangers,1.78,2.25
22-38,San Diego Padres,1,Arizona Diamondbacks,3,Arizona Diamondbacks,1.66,2.44
22-39,San Francisco Giants,9,Milwaukee Brewers,5,San Francisco Giants,1.69,2.43
22-40,Colorado Rockies,3,Pittsburgh Pirates,8,Pittsburgh Pirates,1.62,2.66
22-41,Texas Rangers,2,Seattle Mariners,6,Seattle Mariners,2.2,1.79
22-42,Chicago Cubs,3,New York Mets,2,Chicago Cubs,2.3,1.73
22-43,Houston Astros,3,Oakland Athletics,4,Oakland Athletics,1.38,3.5
22-44,Minnesota Twins,0,Chicago White Sox,11,Chicago White Sox,2.2,1.86
22-45,Miami Marlins,0,Philadelphia Phillies,4,Philadelphia Phillies,2.27,1.79
22-46,Tampa Bay Rays,7,Baltimore Orioles,5,Tampa Bay Rays,1.7,2.36
22-47,New York Yankees,13,Boston Red Sox,2,Boston Red Sox,1.59,2.67
22-48,Washington Nationals,7,Atlanta Braves,3,Washington Nationals,3.44,1.38
22-49,Toronto Blue Jays,4,Kansas City Royals,2,Toronto Blue Jays,1.36,3.9
22-50,Los Angeles Angels,1,Los Angeles Dodgers,7,Los Angeles Dodgers,2.89,1.54
21-Jan,Seattle Mariners,4,Texas Rangers,2,Seattle Mariners,2.12,1.84
21-Feb,Oakland Athletics,4,Houston Astros,2,Oakland Athletics,2.93,1.49
21-Mar,Colorado Rockies,6,Chicago White Sox,5,Colorado Rockies,2.17,1.84
21-Apr,Los Angeles Dodgers,7,Washington Nationals,1,Los Angeles Dodgers,1.4,3.44
21-May,Kansas City Royals,0,Los Angeles Angels,4,Los Angeles Angels,1.8,2.21
21-Jun,Milwaukee Brewers,10,Minnesota Twins,4,Minnesota Twins,1.5,2.91
21-Jul,Detroit Tigers,4,San Diego Padres,3,Detroit Tigers,2.28,1.75
21-Aug,Philadelphia Phillies,7,Atlanta Braves,2,Philadelphia Phillies,2.31,1.73
21-Sep,Los Angeles Dodgers,3,Washington Nationals,8,Washington Nationals,1.42,3.25
21-Oct,Seattle Mariners,5,Texas Rangers,4,Seattle Mariners,1.69,2.56
21-Nov,Arizona Diamondbacks,7,San Francisco Giants,3,Arizona Diamondbacks,2.79,1.83
21-Dec,Oakland Athletics,5,Houston Astros,3,Oakland Athletics,2.7,1.64
21-13,Colorado Rockies,1,Chicago White Sox,2,Chicago White Sox,2.2,1.96
21-14,Kansas City Royals,0,Los Angeles Angels,6,Los Angeles Angels,1.84,2.2
21-15,Milwaukee Brewers,7,Minnesota Twins,6,Milwaukee Brewers,1.91,2.67
21-16,Boston Red Sox,3,Cleveland Guardians,8,Cleveland Guardians,1.78,2.33
21-17,Detroit Tigers,4,San Diego Padres,6,San Diego Padres,2.66,1.74
21-18,New York Mets,6,New York Yankees,3,New York Mets,2.04,1.97
21-19,Toronto Blue Jays,10,St.Louis Cardinals,3,St.Louis Cardinals,1.47,3.1
21-20,Baltimore Orioles,5,Tampa Bay Rays,3,Baltimore Orioles,2.78,1.8
21-21,Philadelphia Phillies,3,Atlanta Braves,6,Atlanta Braves,2.25,1.84
21-22,Cincinnati Reds,1,Miami Marlins,2,Miami Marlins,2.02,2.4
21-23,Chicago Cubs,4,Pittsburgh Pirates,2,Chicago Cubs,1.57,2.7
21-24,Los Angeles Dodgers,1,Washington Nationals,4,Washington Nationals,1.38,3.76
21-25,Seattle Mariners,4,Texas Rangers,3,Seattle Mariners,1.68,2.43
21-26,Arizona Diamondbacks,7,San Francisco Giants,0,Arizona Diamondbacks,1.95,2.03
21-27,Oakland Athletics,7,Houston Astros,5,Oakland Athletics,3.1,1.5
21-28,Kansas City Royals,7,Los Angeles Angels,0,Kansas City Royals,1.95,2
21-29,Milwaukee Brewers,0,Colorado Rockies,2,Colorado Rockies,1.56,2.72
21-30,Chicago Cubs,3,Pittsburgh Pirates,2,Chicago Cubs,1.74,2.5
21-31,Boston Red Sox,3,Cleveland Guardians,1,Boston Red Sox,2.03,1.96
21-32,Detroit Tigers,12,San Diego Padres,4,San Diego Padres,2.5,1.63
